mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
AC;1.000;10.000;0.300;20;1.000;1023549.000;1023009;1024509;599.180;140.000;7;0.892;0.290;0.711
EAS;0.500;10.000;0.800;50;0.200;1020919.000;1020401;1021427;360.446;43.000;7;0.668;0.812;0.711
EAS;0.750;10.000;0.300;100;1.000;1020369.000;1019729;1020881;429.407;23.000;7;0.621;0.919;0.711
EAS;0.500;10.000;0.300;20;0.500;1020071.000;1019522;1020707;501.698;12.000;7;0.596;0.978;0.711
AC;0.500;10.000;0.300;100;1.000;1020514.000;1019834;1020826;331.326;29.000;7;0.634;0.887;0.710
EAS;0.250;10.000;0.800;100;0.200;1020122.000;1019606;1021110;496.794;15.000;7;0.600;0.962;0.709
EAS;0.500;10.000;0.800;20;1.000;1020471.000;1019769;1021435;563.592;28.000;7;0.630;0.892;0.709
EAS;0.750;10.000;0.300;50;1.000;1020926.000;1020216;1021421;430.140;45.000;7;0.669;0.801;0.708
EAS;0.500;10.000;0.800;100;1.000;1020517.000;1019922;1020770;344.657;30.000;7;0.634;0.882;0.708
EAS;0.250;10.000;0.800;100;1.000;1020098.000;1019767;1020860;413.451;15.000;7;0.598;0.962;0.707
EAS;1.000;5.000;0.800;50;1.000;1021366.000;1020564;1021753;451.082;62.000;7;0.706;0.710;0.707
EAS;0.500;10.000;0.800;100;0.500;1020489.000;1019706;1020880;438.503;30.000;7;0.631;0.882;0.707
EAS;0.500;10.000;0.300;20;1.000;1020134.000;1019090;1021022;628.414;17.000;7;0.601;0.952;0.706
EAS;0.500;10.000;0.300;100;0.500;1020212.000;1020006;1021723;617.555;20.000;7;0.608;0.935;0.706
EAS;0.750;10.000;0.300;20;1.000;1020217.000;1019172;1021278;699.225;21.000;7;0.608;0.930;0.705
AC;0.250;10.000;0.500;20;1.000;1020216.000;1019361;1020717;464.721;21.000;7;0.608;0.930;0.705
EAS;1.000;5.000;0.500;100;0.200;1021993.000;1021496;1024945;1542.123;87.000;7;0.759;0.575;0.704
EAS;0.250;10.000;0.500;50;1.000;1020006.000;1019384;1020960;516.975;15.000;7;0.590;0.962;0.702
EAS;0.750;10.000;0.800;100;0.500;1021058.000;1020535;1021621;443.938;54.000;7;0.680;0.753;0.702
EAS;0.750;10.000;0.500;50;0.500;1020439.000;1020125;1021065;325.460;32.000;7;0.627;0.871;0.700
EAS;0.250;10.000;0.500;50;0.500;1019914.000;1019127;1020831;569.874;13.000;7;0.583;0.973;0.700
EAS;0.750;10.000;0.300;20;0.500;1020385.000;1018670;1022342;1279.414;31.000;7;0.623;0.876;0.699
EAS;0.750;10.000;0.500;50;1.000;1020736.000;1020521;1021526;419.219;44.000;7;0.653;0.806;0.699
AC;0.750;10.000;0.800;50;1.000;1021683.000;1021458;1022418;332.391;79.000;7;0.733;0.618;0.699
EAS;0.750;10.000;0.500;100;0.200;1020610.000;1020243;1021136;308.581;40.000;7;0.642;0.828;0.698
EAS;0.500;10.000;0.800;20;0.200;1020495.000;1018679;1021018;805.679;36.000;7;0.632;0.849;0.697
EAS;0.250;10.000;0.300;50;0.500;1019975.000;1019670;1020545;304.095;17.000;7;0.588;0.952;0.697
EAS;0.750;10.000;0.300;20;0.200;1020323.000;1018486;1021189;888.557;30.000;7;0.617;0.882;0.697
AC;0.250;10.000;0.500;100;1.000;1020373.000;1019748;1020475;337.383;32.000;7;0.622;0.871;0.696
EAS;1.000;5.000;0.300;50;1.000;1023200.000;1020924;1024352;1237.582;137.000;7;0.862;0.306;0.695
EAS;0.750;10.000;0.300;50;0.200;1020331.000;1019895;1020399;176.836;32.000;7;0.618;0.871;0.694
AC;0.500;10.000;0.800;100;1.000;1020763.000;1020532;1021183;225.211;48.000;7;0.655;0.785;0.694
EAS;0.250;10.000;0.500;20;0.500;1019943.000;1019454;1020035;253.606;18.000;7;0.585;0.946;0.693
EAS;0.250;10.000;0.800;50;0.200;1019726.000;1019494;1020976;535.342;10.000;7;0.567;0.989;0.693
EAS;0.750;10.000;0.300;50;0.500;1020560.000;1020231;1021247;410.849;42.000;7;0.638;0.817;0.691
EAS;0.250;10.000;0.300;50;1.000;1020190.000;1019464;1020712;474.178;29.000;7;0.606;0.887;0.690
EAS;0.250;10.000;0.300;100;0.200;1020005.000;1019576;1020983;434.472;24.000;7;0.590;0.914;0.687
AC;1.000;5.000;0.500;50;1.000;1021806.000;1021456;1023462;773.263;91.000;7;0.744;0.554;0.687
AC;0.750;10.000;0.500;20;1.000;1021560.000;1020416;1022203;611.347;82.000;7;0.723;0.602;0.686
EAS;0.250;10.000;0.500;100;0.200;1019626.000;1019243;1020065;294.086;11.000;7;0.558;0.984;0.686
EAS;0.250;10.000;0.500;20;0.200;1019814.000;1019035;1020796;592.848;18.000;7;0.574;0.946;0.686
EAS;0.250;10.000;0.800;100;0.500;1020003.000;1019602;1020684;436.199;25.000;7;0.590;0.909;0.686
AC;1.000;5.000;0.300;100;1.000;1024521.000;1024227;1024782;198.751;192.000;7;0.975;0.011;0.685
EAS;0.500;10.000;0.500;100;0.500;1020313.000;1019714;1021316;515.220;37.000;7;0.617;0.844;0.685
AC;0.250;10.000;0.300;20;1.000;1020000.000;1019066;1020926;605.219;26.000;7;0.590;0.903;0.684
AC;0.750;10.000;0.500;100;1.000;1021081.000;1020431;1021440;306.052;66.000;7;0.682;0.688;0.684
EAS;0.250;10.000;0.300;20;0.500;1019688.000;1019291;1020384;476.241;15.000;7;0.563;0.962;0.683
EAS;0.750;10.000;0.300;100;0.200;1020413.000;1020146;1020678;214.278;42.000;7;0.625;0.817;0.683
EAS;0.500;10.000;0.500;50;0.200;1020105.000;1019613;1020218;213.605;31.000;7;0.599;0.876;0.682
EAS;0.500;10.000;0.300;100;1.000;1020186.000;1019923;1020945;350.158;34.000;7;0.606;0.860;0.682
EAS;0.250;10.000;0.300;50;0.200;1019753.000;1019326;1020343;349.951;19.000;7;0.569;0.941;0.680
AC;0.250;10.000;0.800;100;1.000;1020184.000;1019695;1020442;286.385;35.000;7;0.606;0.855;0.680
EAS;0.250;10.000;0.800;50;0.500;1020055.000;1019081;1020787;515.992;31.000;7;0.595;0.876;0.679
EAS;0.500;10.000;0.300;20;0.200;1020290.000;1019652;1020653;312.839;40.000;7;0.615;0.828;0.679
EAS;0.250;10.000;0.500;100;1.000;1019788.000;1019695;1020064;153.901;22.000;7;0.572;0.925;0.678
EAS;0.250;10.000;0.800;20;1.000;1019731.000;1019221;1021048;766.022;20.000;7;0.567;0.935;0.678
AC;0.500;10.000;0.500;100;1.000;1020221.000;1020048;1020663;219.008;39.000;7;0.609;0.833;0.676
EAS;0.500;10.000;0.500;20;0.200;1019808.000;1019380;1021261;813.569;24.000;7;0.574;0.914;0.676
AC;0.250;10.000;0.300;100;1.000;1020290.000;1020027;1020820;300.002;42.000;7;0.615;0.817;0.675
EAS;0.500;10.000;0.500;50;0.500;1020281.000;1019555;1021428;691.779;42.000;7;0.614;0.817;0.675
EAS;0.500;10.000;0.500;20;0.500;1019648.000;1019316;1020480;435.408;19.000;7;0.560;0.941;0.674
EAS;1.000;5.000;0.800;50;0.500;1021193.000;1020815;1024078;1128.500;77.000;7;0.691;0.629;0.673
EAS;1.000;5.000;0.300;50;0.200;1021563.000;1020993;1023998;997.664;91.000;7;0.723;0.554;0.672
EAS;0.750;10.000;0.500;50;0.200;1020800.000;1020127;1021222;394.927;63.000;7;0.658;0.704;0.672
EAS;0.500;10.000;0.300;50;0.500;1020093.000;1019554;1020252;245.186;37.000;7;0.598;0.844;0.672
EAS;1.000;5.000;0.500;50;0.500;1021716.000;1021175;1023344;721.361;97.000;7;0.736;0.522;0.672
