mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
EAS;1.000;1.000;0.300;30;0.500;119.000;118;121;1.225;18.000;5;0.778;0.651;0.740
AC;1.000;1.000;0.100;20;0.800;120.000;118;121;1.140;21.000;5;0.806;0.581;0.738
EAS;1.000;1.000;0.500;20;1.000;121.000;118;122;1.517;24.000;5;0.833;0.512;0.737
EAS;1.000;1.000;0.100;10;1.000;121.000;117;123;2.588;27.000;5;0.833;0.442;0.716
AC;1.000;1.000;0.300;10;0.800;120.000;116;122;2.280;25.000;5;0.806;0.488;0.710
EAS;1.000;1.000;0.300;10;0.200;118.000;117;124;2.828;20.000;5;0.750;0.605;0.706
EAS;1.000;1.000;0.100;30;1.000;119.000;118;122;1.643;23.000;5;0.778;0.535;0.705
EAS;1.000;1.000;0.300;30;1.000;120.000;117;121;1.871;26.000;5;0.806;0.465;0.703
EAS;2.000;2.500;0.500;30;1.000;116.000;115;118;1.342;16.000;5;0.694;0.698;0.695
EAS;1.000;1.000;0.500;10;0.500;122.000;119;123;1.643;33.000;5;0.861;0.302;0.693
EAS;1.000;1.000;0.100;20;1.000;118.000;117;119;0.837;22.000;5;0.750;0.558;0.692
EAS;1.000;1.000;0.100;10;0.500;120.000;117;122;1.924;28.000;5;0.806;0.419;0.689
EAS;1.000;1.000;0.300;10;1.000;120.000;118;122;1.581;28.000;5;0.806;0.419;0.689
EAS;2.000;2.500;0.300;30;1.000;116.000;114;118;1.789;18.000;5;0.694;0.651;0.681
AC;1.000;1.000;0.500;10;0.800;121.000;118;121;1.643;32.000;5;0.833;0.326;0.681
EAS;1.000;1.000;0.100;20;0.200;118.000;117;122;2.000;24.000;5;0.750;0.512;0.678
AC;2.000;2.500;0.500;20;0.800;115.000;114;116;0.837;16.000;5;0.667;0.698;0.676
EAS;2.000;2.500;0.300;20;0.200;115.000;110;116;2.950;16.000;5;0.667;0.698;0.676
EAS;2.000;2.500;0.100;30;0.500;115.000;110;116;2.950;17.000;5;0.667;0.674;0.669
EAS;1.000;1.000;0.500;10;0.200;118.000;117;119;0.837;26.000;5;0.750;0.465;0.665
AC;2.000;2.500;0.300;20;0.800;115.000;110;116;2.490;18.000;5;0.667;0.651;0.662
EAS;1.000;1.000;0.300;20;0.500;118.000;117;120;1.140;27.000;5;0.750;0.442;0.658
EAS;2.000;2.500;0.300;20;0.500;114.000;114;119;2.191;16.000;5;0.639;0.698;0.657
EAS;2.000;2.500;0.100;10;0.500;114.000;107;115;3.962;16.000;5;0.639;0.698;0.657
EAS;2.000;2.500;0.500;20;0.500;115.000;115;116;0.548;19.000;5;0.667;0.628;0.655
AC;1.000;1.000;0.500;20;0.800;121.000;117;124;3.114;36.000;5;0.833;0.233;0.653
EAS;2.000;2.500;0.300;30;0.200;115.000;113;118;1.817;20.000;5;0.667;0.605;0.648
EAS;1.000;1.000;0.100;20;0.500;120.000;117;123;2.387;34.000;5;0.806;0.279;0.648
EAS;2.000;2.500;0.500;10;1.000;116.000;112;116;1.789;23.000;5;0.694;0.535;0.647
EAS;1.000;1.000;0.500;30;1.000;121.000;120;123;1.304;37.000;5;0.833;0.209;0.646
EAS;1.000;1.000;0.300;20;0.200;118.000;118;124;2.828;29.000;5;0.750;0.395;0.644
EAS;1.000;1.000;0.100;10;0.200;118.000;115;120;1.789;29.000;5;0.750;0.395;0.644
AC;2.000;2.500;0.500;30;0.800;114.000;110;115;2.345;18.000;5;0.639;0.651;0.643
EAS;2.000;2.500;0.500;20;0.200;115.000;113;116;1.517;22.000;5;0.667;0.558;0.634
AC;1.000;1.000;0.100;30;0.800;120.000;118;121;1.517;36.000;5;0.806;0.233;0.634
EAS;1.500;2.500;0.500;30;1.000;109.000;107;116;3.536;6.000;5;0.500;0.930;0.629
AC;2.000;2.500;0.300;30;0.800;116.000;114;116;0.894;26.000;5;0.694;0.465;0.626
EAS;1.000;1.000;0.100;30;0.500;120.000;117;123;2.168;38.000;5;0.806;0.186;0.620
EAS;1.000;1.000;0.300;10;0.500;120.000;117;122;2.121;38.000;5;0.806;0.186;0.620
EAS;1.000;1.000;0.100;30;0.200;118.000;118;118;0.000;33.000;5;0.750;0.302;0.616
EAS;2.000;2.500;0.500;20;1.000;115.000;114;118;1.517;25.000;5;0.667;0.488;0.613
EAS;2.000;2.500;0.300;10;1.000;116.000;115;119;1.517;28.000;5;0.694;0.419;0.612
AC;1.000;1.000;0.100;10;0.800;116.000;114;119;2.280;29.000;5;0.694;0.395;0.605
EAS;2.000;2.500;0.500;10;0.200;116.000;116;119;1.414;29.000;5;0.694;0.395;0.605
AC;2.000;2.500;0.100;30;0.800;110.000;110;115;2.168;13.000;5;0.528;0.767;0.600
EAS;1.500;2.500;0.500;30;0.500;108.000;105;110;1.949;8.000;5;0.472;0.884;0.596
EAS;2.000;2.500;0.500;30;0.500;113.000;108;116;3.271;23.000;5;0.611;0.535;0.588
EAS;2.000;2.500;0.100;20;0.500;110.000;110;115;2.490;17.000;5;0.528;0.674;0.572
EAS;2.000;2.500;0.300;30;0.500;116.000;110;116;2.608;34.000;5;0.694;0.279;0.570
EAS;1.500;2.500;0.300;30;0.500;109.000;103;115;4.669;15.000;5;0.500;0.721;0.566
EAS;2.000;2.500;0.100;30;1.000;114.000;110;116;2.588;29.000;5;0.639;0.395;0.566
AC;2.000;2.500;0.300;10;0.800;113.000;110;115;2.280;27.000;5;0.611;0.442;0.560
AC;1.500;2.500;0.300;20;0.800;107.000;103;110;2.775;11.000;5;0.444;0.814;0.555
EAS;1.500;2.500;0.300;30;0.200;108.000;102;115;4.637;15.000;5;0.472;0.721;0.547
