mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
EAS;1.000;5.000;0.500;50;0.500;1007464.000;1006378;1007830;512.435;108.000;7;0.548;0.452;0.519;99.587
EAS;0.750;10.000;0.300;50;0.200;1006616.000;1006238;1006978;244.628;35.000;7;0.381;0.840;0.519;99.504
EAS;0.500;10.000;0.500;100;0.500;1006458.000;1006226;1006745;206.319;22.000;7;0.350;0.910;0.518;99.488
EAS;0.500;10.000;0.300;20;0.200;1006324.000;1005956;1006434;188.337;12.000;7;0.324;0.963;0.516;99.475
EAS;0.500;10.000;0.800;50;0.500;1006315.000;1005956;1007006;349.751;13.000;7;0.322;0.957;0.513;99.474
AC;0.250;10.000;0.800;100;1.000;1006452.000;1006163;1006586;172.578;25.000;7;0.349;0.894;0.512;99.487
EAS;0.750;10.000;0.500;50;0.200;1006664.000;1006469;1006928;152.586;44.000;7;0.391;0.793;0.511;99.508
EAS;0.250;10.000;0.500;50;0.200;1006234.000;1005810;1006365;184.569;8.000;7;0.306;0.984;0.510;99.466
EAS;0.250;10.000;0.300;100;0.500;1006231.000;1005915;1006627;257.047;9.000;7;0.306;0.979;0.508;99.466
EAS;1.000;5.000;0.500;50;0.200;1007525.000;1006637;1007947;401.684;121.000;7;0.560;0.383;0.507;99.593
EAS;0.500;10.000;0.300;50;0.200;1006341.000;1006195;1006766;233.509;19.000;7;0.327;0.926;0.507;99.476
EAS;0.250;10.000;0.300;100;1.000;1006452.000;1006065;1007121;345.589;29.000;7;0.349;0.872;0.506;99.487
EAS;0.750;10.000;0.500;100;0.500;1006716.000;1006420;1007000;177.816;52.000;7;0.401;0.750;0.506;99.513
EAS;1.000;5.000;0.800;50;1.000;1006829.000;1006613;1007659;433.642;62.000;7;0.423;0.697;0.505;99.525
EAS;0.500;10.000;0.300;100;0.500;1006304.000;1006112;1006833;263.412;18.000;7;0.320;0.931;0.503;99.473
AC;0.750;10.000;0.500;100;1.000;1006718.000;1006636;1007193;235.227;54.000;7;0.401;0.739;0.503;99.514
EAS;0.500;10.000;0.800;20;1.000;1006520.000;1005724;1006953;425.376;37.000;7;0.362;0.830;0.503;99.494
EAS;0.500;10.000;0.300;20;1.000;1006541.000;1005971;1006766;304.918;39.000;7;0.367;0.819;0.502;99.496
EAS;0.500;10.000;0.300;50;0.500;1006421.000;1005751;1006853;366.453;30.000;7;0.343;0.867;0.500;99.484
EAS;0.750;10.000;0.500;20;1.000;1006734.000;1006061;1007646;490.234;57.000;7;0.404;0.723;0.500;99.515
EAS;0.750;10.000;0.300;100;0.200;1006476.000;1006389;1006822;156.510;35.000;7;0.354;0.840;0.500;99.490
AC;0.250;10.000;0.800;20;1.000;1006544.000;1005689;1007331;494.208;41.000;7;0.367;0.809;0.500;99.496
AC;0.500;10.000;0.300;50;1.000;1006497.000;1005921;1006927;352.153;37.000;7;0.358;0.830;0.499;99.492
AC;0.250;10.000;0.300;100;1.000;1006484.000;1006017;1006873;253.709;36.000;7;0.355;0.835;0.499;99.491
AC;0.500;10.000;0.500;100;1.000;1006432.000;1006163;1006862;214.339;32.000;7;0.345;0.856;0.499;99.485
EAS;0.500;10.000;0.800;20;0.200;1006431.000;1006168;1006656;168.941;32.000;7;0.345;0.856;0.498;99.485
AC;0.750;10.000;0.800;100;1.000;1007231.000;1007142;1007575;150.335;101.000;7;0.502;0.489;0.498;99.564
EAS;0.500;10.000;0.800;50;0.200;1006487.000;1006283;1006625;118.424;37.000;7;0.356;0.830;0.498;99.491
EAS;0.250;10.000;0.800;50;0.200;1006231.000;1005948;1006362;141.670;15.000;7;0.306;0.947;0.498;99.466
EAS;0.500;10.000;0.500;20;0.500;1006367.000;1005914;1006553;223.598;27.000;7;0.332;0.883;0.498;99.479
EAS;0.250;10.000;0.800;100;0.500;1006328.000;1006142;1006829;222.439;24.000;7;0.325;0.899;0.497;99.475
EAS;1.000;5.000;0.300;100;0.500;1007927.000;1006311;1008097;637.711;162.000;7;0.639;0.165;0.497;99.633
EAS;0.750;10.000;0.300;50;1.000;1006578.000;1006335;1006811;173.055;46.000;7;0.374;0.782;0.496;99.500
EAS;0.500;10.000;0.800;100;1.000;1006341.000;1006100;1006655;193.351;26.000;7;0.327;0.888;0.496;99.476
EAS;0.500;10.000;0.500;20;1.000;1006438.000;1006056;1006716;257.447;35.000;7;0.346;0.840;0.495;99.486
AC;0.250;10.000;0.500;50;1.000;1006356.000;1005890;1006783;268.992;28.000;7;0.330;0.878;0.494;99.478
EAS;0.250;10.000;0.800;100;0.200;1006320.000;1005962;1006687;240.123;25.000;7;0.323;0.894;0.494;99.474
EAS;0.500;10.000;0.500;100;1.000;1006274.000;1005935;1006543;227.574;22.000;7;0.314;0.910;0.493;99.470
EAS;0.750;10.000;0.300;20;0.200;1006597.000;1006180;1007159;335.846;51.000;7;0.378;0.755;0.491;99.502
EAS;0.500;10.000;0.500;100;0.200;1006280.000;1006108;1006841;268.170;25.000;7;0.315;0.894;0.489;99.470
AC;0.750;10.000;0.800;20;1.000;1007263.000;1006911;1008264;494.608;110.000;7;0.508;0.441;0.488;99.568
EAS;0.500;10.000;0.500;50;0.500;1006265.000;1006026;1006592;200.663;25.000;7;0.312;0.894;0.487;99.469
EAS;0.250;10.000;0.800;100;1.000;1006166.000;1006092;1006528;169.026;19.000;7;0.293;0.926;0.483;99.459
EAS;0.250;10.000;0.500;100;0.500;1006293.000;1005937;1006796;328.386;30.000;7;0.318;0.867;0.483;99.472
EAS;0.500;10.000;0.800;100;0.200;1006234.000;1006103;1006331;76.312;25.000;7;0.306;0.894;0.482;99.466
EAS;0.750;10.000;0.500;20;0.200;1006824.000;1006374;1007848;487.306;76.000;7;0.422;0.622;0.482;99.524
AC;1.000;5.000;0.300;100;1.000;1007930.000;1007842;1008078;98.236;172.000;7;0.640;0.112;0.481;99.633
EAS;0.500;10.000;0.500;50;0.200;1006259.000;1005782;1006699;308.652;28.000;7;0.311;0.878;0.481;99.468
EAS;0.250;10.000;0.300;20;0.500;1006157.000;1005490;1006622;357.963;20.000;7;0.291;0.920;0.480;99.458
EAS;0.250;10.000;0.500;50;0.500;1006163.000;1005906;1006333;145.526;21.000;7;0.292;0.915;0.479;99.459
AC;0.500;10.000;0.300;20;1.000;1006230.000;1005919;1006506;195.128;27.000;7;0.305;0.883;0.479;99.465
AC;0.500;10.000;0.300;100;1.000;1006343.000;1006152;1006833;217.332;37.000;7;0.328;0.830;0.478;99.477
EAS;0.250;10.000;0.800;50;1.000;1006172.000;1005867;1006652;265.528;23.000;7;0.294;0.904;0.477;99.460
EAS;0.250;10.000;0.500;20;1.000;1006297.000;1005838;1006796;282.242;34.000;7;0.319;0.846;0.477;99.472
AC;0.250;10.000;0.500;20;1.000;1006191.000;1005772;1006781;326.514;25.000;7;0.298;0.894;0.477;99.462
EAS;0.750;10.000;0.300;20;1.000;1006434.000;1005940;1007274;417.128;46.000;7;0.346;0.782;0.476;99.486
EAS;0.500;10.000;0.500;20;0.200;1006319.000;1006064;1006779;218.251;37.000;7;0.323;0.830;0.475;99.474
EAS;0.250;10.000;0.800;20;1.000;1006062.000;1005676;1006750;325.527;15.000;7;0.272;0.947;0.475;99.449
EAS;0.250;10.000;0.500;50;1.000;1006119.000;1005832;1006702;284.456;20.000;7;0.284;0.920;0.475;99.454
EAS;0.250;10.000;0.300;20;1.000;1005968.000;1005779;1006331;176.233;7.000;7;0.254;0.989;0.475;99.440
EAS;0.250;10.000;0.500;100;1.000;1006136.000;1005936;1006536;196.298;22.000;7;0.287;0.910;0.474;99.456
EAS;0.250;10.000;0.300;50;1.000;1006202.000;1006083;1006373;107.776;28.000;7;0.300;0.878;0.473;99.463
EAS;0.250;10.000;0.300;50;0.500;1006057.000;1005776;1006345;192.727;17.000;7;0.271;0.936;0.471;99.448
AC;1.000;5.000;0.800;50;1.000;1006693.000;1006438;1007680;522.672;72.000;7;0.396;0.644;0.471;99.511
EAS;0.750;5.000;0.500;50;0.200;1006135.000;1005689;1006242;191.397;25.000;7;0.287;0.894;0.469;99.456
EAS;1.000;5.000;0.800;20;1.000;1006515.000;1006049;1007284;428.382;58.000;7;0.361;0.718;0.468;99.494
AC;1.000;5.000;0.300;20;1.000;1007234.000;1006353;1007707;545.381;120.000;7;0.503;0.388;0.468;99.565
EAS;0.250;10.000;0.800;50;0.500;1005982.000;1005777;1006456;264.867;13.000;7;0.257;0.957;0.467;99.441
EAS;0.500;10.000;0.300;50;1.000;1006137.000;1005936;1006781;383.857;28.000;7;0.287;0.878;0.464;99.456
EAS;0.250;10.000;0.800;20;0.500;1006047.000;1005756;1006561;313.963;22.000;7;0.269;0.910;0.461;99.447
EAS;0.750;5.000;0.500;100;0.500;1006104.000;1005731;1006571;293.906;27.000;7;0.281;0.883;0.461;99.453
AC;0.500;10.000;0.500;50;1.000;1006409.000;1006333;1006834;211.005;54.000;7;0.341;0.739;0.460;99.483
EAS;0.500;5.000;0.300;100;0.200;1005868.000;1005675;1006066;144.623;10.000;7;0.234;0.973;0.456;99.430
AC;0.750;10.000;0.300;50;1.000;1006851.000;1006583;1007078;189.817;95.000;7;0.427;0.521;0.456;99.527
EAS;0.750;5.000;0.800;20;0.500;1006292.000;1005913;1006341;183.681;49.000;7;0.318;0.766;0.452;99.472
EAS;0.500;10.000;0.800;100;0.500;1006484.000;1006226;1006660;159.418;66.000;7;0.355;0.676;0.451;99.491
EAS;1.000;5.000;0.300;20;0.200;1006898.000;1005249;1007272;722.508;102.000;7;0.437;0.484;0.451;99.531
EAS;0.750;5.000;0.800;50;0.200;1006122.000;1005663;1006299;223.494;36.000;7;0.284;0.835;0.449;99.455
EAS;0.750;5.000;0.800;50;0.500;1006260.000;1005972;1006562;202.468;48.000;7;0.311;0.771;0.449;99.468
AC;0.500;10.000;0.500;20;1.000;1006362.000;1006183;1006707;189.231;58.000;7;0.331;0.718;0.447;99.478
EAS;0.250;10.000;0.300;100;0.200;1006234.000;1006115;1006557;147.818;47.000;7;0.306;0.777;0.447;99.466
EAS;0.750;5.000;0.800;50;1.000;1006199.000;1005957;1006978;350.919;44.000;7;0.299;0.793;0.447;99.462
AC;0.750;10.000;0.800;50;1.000;1007486.000;1006799;1007878;417.427;155.000;7;0.552;0.202;0.447;99.590
