mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.5;5.0;0.4;10;1.0;5348;1
AC;1.5;5.0;0.4;10;1.0;5334;1
AC;1.5;5.0;0.4;10;1.0;5392;4
AC;1.5;5.0;0.4;40;1.0;5349;1
AC;1.5;5.0;0.4;40;1.0;5367;1
AC;1.5;5.0;0.4;40;1.0;5405;1
AC;1.5;5.0;0.4;80;1.0;5361;1
AC;1.5;5.0;0.4;80;1.0;5383;1
AC;1.5;5.0;0.4;80;1.0;5344;1
AC;1.5;5.0;0.8;10;1.0;5332;1
AC;1.5;5.0;0.8;10;1.0;5323;1
AC;1.5;5.0;0.8;10;1.0;5375;1
AC;1.5;5.0;0.8;40;1.0;5354;1
AC;1.5;5.0;0.8;40;1.0;5334;1
AC;1.5;5.0;0.8;40;1.0;5367;1
AC;1.5;5.0;0.8;80;1.0;5382;1
AC;1.5;5.0;0.8;80;1.0;5366;1
AC;1.5;5.0;0.8;80;1.0;5454;1
AC;2.0;1.0;0.1;10;1.0;5292;1
AC;2.0;1.0;0.1;10;1.0;5240;1
AC;2.0;1.0;0.1;10;1.0;5240;1
AC;2.0;1.0;0.1;40;1.0;5303;1
AC;2.0;1.0;0.1;40;1.0;5273;1
AC;2.0;1.0;0.1;40;1.0;5305;1
AC;2.0;1.0;0.1;80;1.0;5287;1
AC;2.0;1.0;0.1;80;1.0;5296;1
AC;2.0;1.0;0.1;80;1.0;5297;1
AC;2.0;1.0;0.4;10;1.0;5205;1
AC;2.0;1.0;0.4;10;1.0;5227;1
AC;2.0;1.0;0.4;10;1.0;5185;1
AC;2.0;1.0;0.4;40;1.0;5266;1
AC;2.0;1.0;0.4;40;1.0;5283;1
AC;2.0;1.0;0.4;40;1.0;5287;1
AC;2.0;1.0;0.4;80;1.0;5288;1
AC;2.0;1.0;0.4;80;1.0;5322;1
AC;2.0;1.0;0.4;80;1.0;5326;1
AC;2.0;1.0;0.8;10;1.0;5250;1
AC;2.0;1.0;0.8;10;1.0;5250;1
AC;2.0;1.0;0.8;10;1.0;5257;1
AC;2.0;1.0;0.8;40;1.0;5308;1
AC;2.0;1.0;0.8;40;1.0;5248;1
AC;2.0;1.0;0.8;40;1.0;5279;1
AC;2.0;1.0;0.8;80;1.0;5286;1
AC;2.0;1.0;0.8;80;1.0;5276;1
AC;2.0;1.0;0.8;80;1.0;5361;1
AC;2.0;3.0;0.1;10;1.0;5289;1
AC;2.0;3.0;0.1;10;1.0;5288;1
AC;2.0;3.0;0.1;10;1.0;5264;1
AC;2.0;3.0;0.1;40;1.0;5354;1
AC;2.0;3.0;0.1;40;1.0;5326;1
AC;2.0;3.0;0.1;40;1.0;5313;1
AC;2.0;3.0;0.1;80;1.0;5362;1
AC;2.0;3.0;0.1;80;1.0;5363;1
AC;2.0;3.0;0.1;80;1.0;5420;1
AC;2.0;3.0;0.4;10;1.0;5363;1
AC;2.0;3.0;0.4;10;1.0;5329;1
AC;2.0;3.0;0.4;10;1.0;5295;1
AC;2.0;3.0;0.4;40;1.0;5354;1
AC;2.0;3.0;0.4;40;1.0;5325;1
AC;2.0;3.0;0.4;40;1.0;5347;1
AC;2.0;3.0;0.4;80;1.0;5350;1
AC;2.0;3.0;0.4;80;1.0;5395;1
AC;2.0;3.0;0.4;80;1.0;5379;1
AC;2.0;3.0;0.8;10;1.0;5333;1
AC;2.0;3.0;0.8;10;1.0;5299;1
AC;2.0;3.0;0.8;10;1.0;5294;1
AC;2.0;3.0;0.8;40;1.0;5329;1
AC;2.0;3.0;0.8;40;1.0;5283;1
AC;2.0;3.0;0.8;40;1.0;5390;1
AC;2.0;3.0;0.8;80;1.0;5357;1
AC;2.0;3.0;0.8;80;1.0;5356;1
AC;2.0;3.0;0.8;80;1.0;5355;1
AC;2.0;5.0;0.1;10;1.0;5353;1
AC;2.0;5.0;0.1;10;1.0;5474;1
AC;2.0;5.0;0.1;10;1.0;5342;1
AC;2.0;5.0;0.1;40;1.0;5372;1
AC;2.0;5.0;0.1;40;1.0;5359;1
AC;2.0;5.0;0.1;40;1.0;5397;1
AC;2.0;5.0;0.1;80;1.0;5354;1
AC;2.0;5.0;0.1;80;1.0;5387;1
AC;2.0;5.0;0.1;80;1.0;5428;1
AC;2.0;5.0;0.4;10;1.0;5315;1
AC;2.0;5.0;0.4;10;1.0;5306;1
AC;2.0;5.0;0.4;10;1.0;5348;1
AC;2.0;5.0;0.4;40;1.0;5353;1
AC;2.0;5.0;0.4;40;1.0;5408;1
AC;2.0;5.0;0.4;40;1.0;5352;1
AC;2.0;5.0;0.4;80;1.0;5435;1
AC;2.0;5.0;0.4;80;1.0;5390;1
AC;2.0;5.0;0.4;80;1.0;5383;1
AC;2.0;5.0;0.8;10;1.0;5351;1
AC;2.0;5.0;0.8;10;1.0;5283;1
AC;2.0;5.0;0.8;10;1.0;5329;1
AC;2.0;5.0;0.8;40;1.0;5387;1
AC;2.0;5.0;0.8;40;1.0;5365;1
AC;2.0;5.0;0.8;40;1.0;5375;1
AC;2.0;5.0;0.8;80;1.0;5423;1
AC;2.0;5.0;0.8;80;1.0;5429;1
AC;2.0;5.0;0.8;80;1.0;5346;1
