mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
EAS;0.500;5.000;0.100;50;0.500;1003660.000;1003363;1003688;142.904;8.000;10;0.353;0.967;0.538;99.211
AC;1.000;2.000;0.500;10;1.000;1003907.500;1003683;1004307;178.585;44.500;10;0.612;0.364;0.537;99.236
EAS;0.500;2.000;0.300;30;0.200;1003709.500;1003503;1003924;125.641;15.500;10;0.405;0.843;0.536;99.216
EAS;0.500;2.000;0.300;30;1.000;1003790.000;1003557;1003868;102.322;28.000;10;0.489;0.636;0.533;99.224
EAS;1.000;5.000;0.100;50;0.500;1003688.000;1003660;1003877;61.385;13.000;10;0.383;0.884;0.533;99.214
EAS;1.000;5.000;0.300;50;1.000;1003688.000;1003660;1003688;14.459;13.500;10;0.383;0.876;0.531;99.214
EAS;0.500;5.000;0.100;30;1.000;1003688.000;1003660;1003688;11.806;13.500;10;0.383;0.876;0.531;99.214
EAS;0.500;5.000;0.100;30;0.200;1003688.000;1003210;1003688;150.431;14.000;10;0.383;0.868;0.528;99.214
AC;0.500;5.000;0.500;50;1.000;1003688.000;1003688;1003688;0.000;14.000;10;0.383;0.868;0.528;99.214
EAS;1.500;5.000;0.100;50;0.500;1003660.000;1003490;1003688;64.662;10.000;10;0.353;0.934;0.528;99.211
AC;1.000;2.000;0.300;30;1.000;1003897.500;1003823;1004062;88.295;45.500;10;0.601;0.347;0.525;99.235
AC;1.000;2.000;0.300;50;1.000;1003913.000;1003663;1004180;146.213;48.000;10;0.617;0.306;0.524;99.236
AC;1.000;5.000;0.100;50;1.000;1003688.000;1003633;1003688;18.619;15.000;10;0.383;0.851;0.523;99.214
AC;0.500;5.000;0.100;50;1.000;1003688.000;1003688;1003688;0.000;15.000;10;0.383;0.851;0.523;99.214
EAS;1.500;2.000;0.100;10;0.500;1003718.500;1003595;1003902;107.992;19.500;10;0.414;0.777;0.523;99.217
EAS;1.000;5.000;0.500;30;0.500;1003660.000;1003633;1003877;87.149;11.500;10;0.353;0.909;0.520;99.211
EAS;1.500;5.000;0.300;50;1.000;1003660.000;1003561;1003878;98.210;12.000;10;0.353;0.901;0.518;99.211
EAS;1.000;3.500;0.100;30;0.200;1003660.000;1003526;1003878;90.106;12.000;10;0.353;0.901;0.518;99.211
EAS;1.000;5.000;0.100;30;0.200;1003660.000;1003561;1003688;49.440;12.000;10;0.353;0.901;0.518;99.211
EAS;1.000;5.000;0.100;50;0.200;1003688.000;1003429;1003688;80.779;16.500;10;0.383;0.826;0.516;99.214
