mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.0;2.0;0.5;20;1.0;1003950;20
AC;1.0;2.0;0.5;20;1.0;1003682;5
AC;1.0;2.0;0.3;80;1.0;1004056;96
AC;1.0;2.0;0.5;20;1.0;1004055;66
AC;1.0;2.0;0.5;20;1.0;1003877;22
AC;1.0;2.0;0.5;20;1.0;1003926;112
AC;1.0;2.0;0.5;50;1.0;1003882;51
AC;1.0;2.0;0.5;50;1.0;1004145;33
AC;1.0;2.0;0.5;50;1.0;1004098;24
AC;1.0;2.0;0.5;50;1.0;1003820;15
AC;1.0;2.0;0.5;50;1.0;1003924;42
AC;1.0;2.0;0.5;50;1.0;1003981;127
AC;1.0;2.0;0.5;50;1.0;1003900;66
AC;1.0;2.0;0.5;50;1.0;1004106;10
AC;1.0;2.0;0.5;50;1.0;1004373;141
AC;1.0;2.0;0.5;50;1.0;1003899;84
AC;1.0;2.0;0.5;80;1.0;1004084;59
AC;1.0;2.0;0.5;80;1.0;1004142;76
AC;1.0;2.0;0.5;80;1.0;1004059;10
AC;1.0;2.0;0.5;80;1.0;1004232;85
AC;1.0;2.0;0.5;80;1.0;1004153;45
AC;1.0;2.0;0.5;80;1.0;1004304;58
AC;1.0;2.0;0.5;80;1.0;1003969;4
AC;1.0;2.0;0.5;80;1.0;1003924;6
AC;1.0;4.0;0.1;20;1.0;1003667;3
AC;1.0;4.0;0.1;20;1.0;1003660;13
AC;1.0;4.0;0.1;20;1.0;1003660;22
AC;1.0;4.0;0.1;20;1.0;1003633;4
AC;1.0;4.0;0.1;20;1.0;1003660;34
AC;1.0;4.0;0.1;20;1.0;1003660;84
AC;1.0;4.0;0.1;20;1.0;1003561;10
AC;1.0;4.0;0.1;20;1.0;1003660;19
AC;1.0;4.0;0.1;20;1.0;1003660;10
AC;1.0;4.0;0.1;20;1.0;1003878;72
AC;1.0;2.0;0.5;80;1.0;1004149;53
AC;1.0;4.0;0.1;50;1.0;1003660;5
AC;1.0;4.0;0.1;50;1.0;1003660;20
AC;1.0;2.0;0.5;80;1.0;1004244;109
AC;1.0;4.0;0.1;50;1.0;1003660;41
AC;1.0;4.0;0.1;50;1.0;1003688;50
AC;1.0;4.0;0.1;50;1.0;1003688;54
AC;1.0;4.0;0.1;50;1.0;1003660;82
AC;1.0;4.0;0.1;50;1.0;1003877;46
AC;1.0;4.0;0.1;50;1.0;1003660;10
AC;1.0;4.0;0.1;50;1.0;1003688;5
AC;1.0;4.0;0.1;50;1.0;1003857;36
AC;1.0;4.0;0.1;80;1.0;1003660;27
AC;1.0;4.0;0.1;80;1.0;1003660;18
AC;1.0;4.0;0.1;80;1.0;1003688;9
AC;1.0;4.0;0.1;80;1.0;1003866;35
AC;1.0;4.0;0.1;80;1.0;1003688;55
AC;1.0;4.0;0.1;80;1.0;1003688;24
AC;1.0;4.0;0.3;20;1.0;1003483;10
AC;1.0;4.0;0.1;80;1.0;1003859;41
AC;1.0;4.0;0.3;20;1.0;1003561;15
AC;1.0;4.0;0.1;80;1.0;1003660;59
AC;1.0;4.0;0.3;20;1.0;1003660;16
AC;1.0;4.0;0.1;80;1.0;1003660;10
AC;1.0;4.0;0.3;20;1.0;1003688;6
AC;1.0;4.0;0.3;20;1.0;1003561;47
AC;1.0;4.0;0.3;20;1.0;1003660;5
AC;1.0;4.0;0.3;20;1.0;1003660;39
